zip_code,borough,population,margin_of_error
10001,Manhattan,30511.0,1797.0
10002,Manhattan,76873.0,3494.0
10003,Manhattan,53560.0,2107.0
10004,Manhattan,3711.0,909.0
10005,Manhattan,9439.0,1107.0
10006,Manhattan,4096.0,796.0
10007,Manhattan,7406.0,1151.0
10009,Manhattan,60209.0,3423.0
10010,Manhattan,30702.0,2567.0
10011,Manhattan,48277.0,2621.0
10012,Manhattan,21426.0,1506.0
10013,Manhattan,27219.0,1966.0
10014,Manhattan,29230.0,1737.0
10016,Manhattan,52971.0,2942.0
10017,Manhattan,15297.0,1695.0
10018,Manhattan,8559.0,1139.0
10019,Manhattan,44942.0,2734.0
10020,Manhattan,0.0,14.0
10021,Manhattan,39868.0,2869.0
10022,Manhattan,34049.0,2867.0
10023,Manhattan,69455.0,3095.0
10024,Manhattan,63115.0,4275.0
10025,Manhattan,93065.0,4601.0
10026,Manhattan,37123.0,2574.0
10027,Manhattan,63885.0,3153.0
10028,Manhattan,49077.0,3329.0
10029,Manhattan,77447.0,3887.0
10030,Manhattan,29297.0,2352.0
10031,Manhattan,61058.0,3098.0
10032,Manhattan,55610.0,2915.0
10033,Manhattan,54838.0,3412.0
10034,Manhattan,37758.0,3147.0
10035,Manhattan,38862.0,2243.0
10036,Manhattan,31036.0,2192.0
10037,Manhattan,19031.0,1693.0
10038,Manhattan,22235.0,2453.0
10039,Manhattan,32492.0,2465.0
10040,Manhattan,40096.0,3043.0
10041,Manhattan,,
10044,Manhattan,11520.0,992.0
10055,Manhattan,,
10065,Manhattan,30808.0,2221.0
10069,Manhattan,6509.0,1758.0
10075,Manhattan,21897.0,2532.0
10080,Manhattan,,
10103,Manhattan,0.0,14.0
10105,Manhattan,,
10106,Manhattan,,
10107,Manhattan,,
10110,Manhattan,0.0,14.0
10111,Manhattan,0.0,14.0
10112,Manhattan,0.0,14.0
10115,Manhattan,0.0,14.0
10116,Manhattan,,
10118,Manhattan,,
10119,Manhattan,0.0,14.0
10121,Manhattan,,
10123,Manhattan,,
10128,Manhattan,57976.0,3236.0
10151,Manhattan,,
10152,Manhattan,7.0,12.0
10153,Manhattan,0.0,14.0
10154,Manhattan,0.0,14.0
10155,Manhattan,,
10158,Manhattan,,
10162,Manhattan,1603.0,691.0
10165,Manhattan,0.0,14.0
10167,Manhattan,0.0,14.0
10168,Manhattan,0.0,14.0
10169,Manhattan,0.0,14.0
10170,Manhattan,0.0,14.0
10171,Manhattan,0.0,14.0
10172,Manhattan,0.0,14.0
10173,Manhattan,0.0,14.0
10174,Manhattan,0.0,14.0
10176,Manhattan,,
10177,Manhattan,0.0,14.0
10178,Manhattan,,
10199,Manhattan,0.0,14.0
10271,Manhattan,0.0,14.0
10278,Manhattan,0.0,14.0
10279,Manhattan,259.0,263.0
10280,Manhattan,8933.0,1579.0
10281,Manhattan,,
10282,Manhattan,5887.0,1028.0
10301,Staten Island,41052.0,2237.0
10302,Staten Island,19030.0,1956.0
10303,Staten Island,26497.0,1850.0
10304,Staten Island,45658.0,2387.0
10305,Staten Island,41270.0,2118.0
10306,Staten Island,57428.0,3061.0
10307,Staten Island,15512.0,1452.0
10308,Staten Island,30568.0,2183.0
10309,Staten Island,34885.0,2320.0
10310,Staten Island,25672.0,1824.0
10311,Staten Island,0.0,14.0
10312,Staten Island,63469.0,2359.0
10314,Staten Island,93915.0,3209.0
10451,Bronx,50942.0,2792.0
10452,Bronx,75682.0,3605.0
10453,Bronx,76282.0,3350.0
10454,Bronx,39570.0,2157.0
10455,Bronx,44801.0,3458.0
10456,Bronx,87533.0,4170.0
10457,Bronx,79543.0,3888.0
10458,Bronx,74898.0,3716.0
10459,Bronx,48270.0,2809.0
10460,Bronx,59396.0,2863.0
10461,Bronx,52012.0,2015.0
10462,Bronx,76320.0,3175.0
10463,Bronx,69470.0,3020.0
10464,Bronx,3828.0,753.0
10465,Bronx,45404.0,2165.0
10466,Bronx,71116.0,3626.0
10467,Bronx,96421.0,3574.0
10468,Bronx,75557.0,3861.0
10469,Bronx,68521.0,3103.0
10470,Bronx,16004.0,1277.0
10471,Bronx,23798.0,1414.0
10472,Bronx,64011.0,2926.0
10473,Bronx,58855.0,2836.0
10474,Bronx,11270.0,1375.0
10475,Bronx,42578.0,3278.0
11001,Long Island,25493.0,969.0
11004,Queens,13615.0,1533.0
11005,Queens,2174.0,444.0
11040,Long Island,41988.0,1758.0
11101,Queens,42219.0,2438.0
11102,Queens,28503.0,1578.0
11103,Queens,35163.0,2055.0
11104,Queens,26132.0,1653.0
11105,Queens,37936.0,1913.0
11106,Queens,40930.0,2611.0
11109,Queens,7948.0,1164.0
11201,Brooklyn,70674.0,2680.0
11203,Brooklyn,74817.0,2639.0
11204,Brooklyn,79800.0,3496.0
11205,Brooklyn,51676.0,2782.0
11206,Brooklyn,93020.0,3492.0
11207,Brooklyn,93198.0,3245.0
11208,Brooklyn,105428.0,4174.0
11209,Brooklyn,71004.0,2166.0
11210,Brooklyn,57915.0,2959.0
11211,Brooklyn,65314.0,3782.0
11212,Brooklyn,89020.0,4448.0
11213,Brooklyn,68846.0,2896.0
11214,Brooklyn,89397.0,3338.0
11215,Brooklyn,70441.0,2880.0
11216,Brooklyn,60685.0,2440.0
11217,Brooklyn,43490.0,1913.0
11218,Brooklyn,72042.0,3495.0
11219,Brooklyn,94196.0,4146.0
11220,Brooklyn,90652.0,3714.0
11221,Brooklyn,91588.0,3840.0
11222,Brooklyn,42853.0,1668.0
11223,Brooklyn,78093.0,3107.0
11224,Brooklyn,50822.0,3180.0
11225,Brooklyn,58158.0,3040.0
11226,Brooklyn,95144.0,4401.0
11228,Brooklyn,42241.0,1991.0
11229,Brooklyn,78377.0,2683.0
11230,Brooklyn,86978.0,3265.0
11231,Brooklyn,38276.0,2310.0
11232,Brooklyn,27816.0,1850.0
11233,Brooklyn,81822.0,2906.0
11234,Brooklyn,83187.0,2677.0
11235,Brooklyn,78558.0,2632.0
11236,Brooklyn,88051.0,2953.0
11237,Brooklyn,45334.0,2400.0
11238,Brooklyn,58345.0,2167.0
11239,Brooklyn,16410.0,1562.0
11241,Brooklyn,,
11249,Brooklyn,47728.0,3149.0
11354,Queens,53028.0,2494.0
11355,Queens,80801.0,3658.0
11356,Queens,25824.0,2473.0
11357,Queens,43346.0,2411.0
11358,Queens,37665.0,1996.0
11359,Queens,0.0,14.0
11360,Queens,19469.0,2067.0
11361,Queens,30127.0,1718.0
11362,Queens,18492.0,1349.0
11363,Queens,7223.0,884.0
11364,Queens,35276.0,2359.0
11365,Queens,42322.0,2803.0
11366,Queens,13463.0,1378.0
11367,Queens,40923.0,2746.0
11368,Queens,105716.0,4085.0
11369,Queens,35133.0,2174.0
11370,Queens,30267.0,2523.0
11371,Queens,0.0,14.0
